event_name;sport;date;city;country;address;latitude;longitude;distance;description;event_url;data_source;source_url;verification_status;priority;check_frequency;last_checked;next_check;source_note;image
Horremer Abendlauf Kerpen;Running;20.06.2026;Kerpen;Germany;50196 Kerpen, Friedrich-Ebert-Platz;;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.horremer-abendlauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/horremerabendlauf/;https://www.runnersworld.de/laufkalender/horremerabendlauf/;unclear;;;2026-06-17;;;
Nacht von Borgholzhausen;Running;20.06.2026;Borgholzhausen;Germany;33829 Borgholzhausen, Schulstraße;;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.lcsolbad.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/nachtvonborgholzhausen/;https://www.runnersworld.de/laufkalender/nachtvonborgholzhausen/;unclear;;;2026-06-17;;;
Burgberglauf Gehrden;Running;20.06.2026;Gehrden;Germany;30989 Gehrden;;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.burgberglauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/burgberglauf-gehrden/;https://www.runnersworld.de/laufkalender/burgberglauf-gehrden/;unclear;;;2026-06-17;;;
Traunsee-Halbmarathon Ebensee - Gmunden;Running;20.06.2026;Ebensee;Germany;AT 4802 Ebensee, Trauneck ( );;;Half Marathon, Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.traunsee-halbmarathon.at/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/traunsee-halbmarathon-ebensee-gmunden/;https://www.runnersworld.de/laufkalender/traunsee-halbmarathon-ebensee-gmunden/;unclear;;;2026-06-17;;;
Zugspitz Ultratrail Garmisch-Partenkirchen;Ultramarathon;20.06.2026;Garmisch-Partenkirchen;Germany;82467 Garmisch-Partenkirchen, Karl-u.-Martin-Neuner-Platz 1 (Skistadion/Olympiahaus);;;Marathon, 68 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.zugspitz-ultratrail.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/zugspitz-ultratrail-garmisch-partenkirchen/;https://www.runnersworld.de/laufkalender/zugspitz-ultratrail-garmisch-partenkirchen/;unclear;;;2026-06-17;;;
Muddy Angel Run Dresden;Running;20.06.2026;Dresden;Germany;01237 Dresden, Oskar-Röder-Straße 1 (Galopprennbahn Dresden-Seidnitz);;;5 km;Running event discovered via Runner's World and linked to the official organizer website.;https://de.muddyangelrun.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/muddy-angel-run-dresden/;https://www.runnersworld.de/laufkalender/muddy-angel-run-dresden/;unclear;;;2026-06-17;;;
Nordseelauf;Running;20.06.2026;Greetsiel;Germany;26736 Greetsiel;;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.nordseelauf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/nordseelauf/;https://www.runnersworld.de/laufkalender/nordseelauf/;unclear;;;2026-06-17;;;
Marathon Wiesbaden;Running;20.06.2026;Wiesbaden;Germany;65189 Wiesbaden, Wilhelmstraße (Schlossplatz);;;5 km, 10 km, Half Marathon, Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.wiesbaden-marathon.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/marathon-wiesbaden/;https://www.runnersworld.de/laufkalender/marathon-wiesbaden/;unclear;;;2026-06-17;;;
Rats-Run Sulzbach-Rosenberg;Running;21.06.2026;Sulzbach-Rosenberg;Germany;92237 Sulzbach-Rosenberg, Postleite 1 (Sportgelände SV Loderhof);;;10 km;Running event discovered via Runner's World and linked to the official organizer website.;https://www.rats-runners.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/rats-run-sulzbach-rosenberg/;https://www.runnersworld.de/laufkalender/rats-run-sulzbach-rosenberg/;unclear;;;2026-06-17;;;
Mittsommerlauf Düsseldorf;Running;21.06.2026;Düsseldorf;Germany;40627 Düsseldorf, Am Kleinhorst 300 (Unterbacher See/ Strandbad Süd);;;6 km, 12 km;Running event discovered via Runner's World and linked to the official organizer website.;https://mittsommerlauf-duesseldorf.de/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/mittsommerlauf-duesseldorf/;https://www.runnersworld.de/laufkalender/mittsommerlauf-duesseldorf/;unclear;;;2026-06-17;;;
Vechtdal Trail Ommen;Ultramarathon;20.06.2026;Ommen;Germany;NL 7732 Ommen, „Westbroek“ Sportlaan 1;;;50 km;Running event discovered via Runner's World and linked to the official organizer website.;https://vechtdaltrail.nl/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/vechtdal-trail/;https://www.runnersworld.de/laufkalender/vechtdal-trail/;unclear;;;2026-06-17;;;
Ironman 70.3 Mont Tremblant J8E 3M8 Mont Tremblant 21,1 km;Running;21.06.2026;CA J8E 3M8 Mont Tremblant;Germany;CA J8E 3M8 Mont Tremblant;;;Half Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.ironmanmonttremblant.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/ironman-70-3-mont-tremblant/;https://www.runnersworld.de/laufkalender/ironman-70-3-mont-tremblant/;unclear;;;2026-06-17;;;
Waterford Viking Marathon X91 E279 Waterford 10,5 km, 21,1 km, 42,195 km;Ultramarathon;21.06.2026;IE X91 E279 Waterford;Germany;IE X91 E279 Waterford, The Mall;;;10 km, Half Marathon, Marathon;Running event discovered via Runner's World and linked to the official organizer website.;https://www.waterfordvikingmarathon.com/;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/waterford-viking-marathon/;https://www.runnersworld.de/laufkalender/waterford-viking-marathon/;unclear;;;2026-06-17;;;
Oelsnitzer Lauftag;Running;21.06.2026;Oelsnitz;Germany;09376 Oelsnitz, Staatsstraße S 255 (Garnstraße/Denkmal Vaterlandsgrube);;;5 km, 10 km;Running event discovered via Runner's World and linked to the official organizer website.;https:///%20www.lc-oelsnitz.de;Runner's World discovery, official organizer URL, source: https://www.runnersworld.de/laufkalender/oelsnitzer-lauftag/;https://www.runnersworld.de/laufkalender/oelsnitzer-lauftag/;unclear;;;2026-06-17;;;
