severity;event_name;event_id;city;country;current_date;issues;reason;recommended_action
info;Bielefelder Triathlon;bielefelder-triathlon-bielefeld-28-06-2026;Bielefeld;Germany;28.06.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Sörmlands 100 Trail Run;sormlands-100-trail-run-bjornlunda-11-09-2026;Björnlunda;Sweden;11.09.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;IRONMAN Hamburg European Championship;ironman-hamburg-european-championship-hamburg-07-06-2026;Hamburg;Germany;07.06.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;IRONMAN Frankfurt;ironman-frankfurt-frankfurt-28-06-2026;Frankfurt;Germany;28.06.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;IRONMAN 70.3 Duisburg;ironman-70-3-duisburg-duisburg-16-08-2026;Duisburg;Germany;16.08.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
clean;IRONMAN 70.3 Leipzig;ironman-70-3-leipzig-leipzig-23-08-2026;Leipzig;Germany;23.08.2026;;;No date action required.
clean;IRONMAN 70.3 Erkner;ironman-70-3-erkner-erkner-13-09-2026;Erkner;Germany;13.09.2026;;;No date action required.
info;IRONMAN Kaernten-Klagenfurt Austria;ironman-kaernten-klagenfurt-austria-klagenfurt-14-06-2026;Klagenfurt;Austria;14.06.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
clean;IRONMAN 70.3 European Championship Elsinore;ironman-70-3-european-championship-elsinore-elsinore-27-06-2027;Elsinore;Denmark;27.06.2027;;;No date action required.
info;IRONMAN 70.3 Westfriesland;ironman-70-3-westfriesland-hoorn-21-06-2026;Hoorn;Netherlands;21.06.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;IRONMAN Switzerland Thun;ironman-switzerland-thun-thun-05-07-2026;Thun;Switzerland;05.07.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
clean;IRONMAN 70.3 Jonkoping;ironman-70-3-jonkoping-jonkoping-11-07-2027;Jonkoping;Sweden;11.07.2027;;;No date action required.
info;IRONMAN 70.3 Luxembourg;ironman-70-3-luxembourg-moselle-12-07-2026;Moselle;Luxembourg;12.07.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;IRONMAN Vitoria-Gasteiz;ironman-vitoria-gasteiz-vitoria-gasteiz-12-07-2026;Vitoria-Gasteiz;Spain;12.07.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;IRONMAN 70.3 Vitoria-Gasteiz;ironman-70-3-vitoria-gasteiz-vitoria-gasteiz-12-07-2026;Vitoria-Gasteiz;Spain;12.07.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Generali Köln Marathon;generali-koln-marathon-koln-04-10-2026;Köln;Germany;04.10.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
clean;Köln Triathlon;koln-triathlon-koln-06-09-2026;Köln;Germany;06.09.2026;;;No date action required.
info;Haspa Marathon Hamburg;haspa-marathon-hamburg-hamburg-25-04-2027;Hamburg;Germany;25.04.2027;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;BMW Berlin Marathon;bmw-berlin-marathon-berlin-27-09-2026;Berlin;Germany;27.09.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Mainova Frankfurt Marathon;mainova-frankfurt-marathon-frankfurt-am-main-25-10-2026;Frankfurt am Main;Germany;25.10.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Thüringen Ultra;thuringen-ultra-frottstadt-04-07-2026;Fröttstädt;Germany;04.07.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Münster Marathon;munster-marathon-munster-13-09-2026;Münster;Germany;13.09.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;GutsMuths Rennsteiglauf;gutsmuths-rennsteiglauf-schmiedefeld-22-05-2027;Schmiedefeld;Germany;22.05.2027;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Ostseeman;ostseeman-glucksburg-02-08-2026;Glücksburg;Germany;02.08.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
clean;Zugspitz Ultratrail;zugspitz-ultratrail-garmisch-partenkirchen-20-06-2026;Garmisch-Partenkirchen;Germany;20.06.2026;;;No date action required.
clean;Challenge Roth;challenge-roth-roth-04-07-2027;Roth;Germany;04.07.2027;;;No date action required.
info;Dresden Marathon;dresden-marathon-dresden-25-10-2026;Dresden;Germany;25.10.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Magdeburg Marathon;magdeburg-marathon-magdeburg-04-10-2026;Magdeburg;Germany;04.10.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Fischland Darss-Zingst Ultramarathon;fischland-darss-zingst-ultramarathon-ribnitz-damgarten-13-06-2026;Ribnitz-Damgarten;Germany;13.06.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
info;Kassel Marathon;kassel-marathon-kassel-20-09-2026;Kassel;Germany;20.09.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
clean;Finkenwerder Insellauf;finkenwerder-insellauf-hamburg-06-06-2026;Hamburg;Germany;06.06.2026;;;No date action required.
clean;Panorama-Baumwipfel-Lauf;panorama-baumwipfel-lauf-oberschwarzach-13-06-2026;Oberschwarzach;Germany;13.06.2026;;;No date action required.
clean;Ebbser Koasamarsch;ebbser-koasamarsch-ebbs-12-06-2027;Ebbs;Austria;12.06.2027;;;No date action required.
clean;Himmelgeister Brückenlauf;himmelgeister-bruckenlauf-dusseldorf-13-06-2026;Düsseldorf;Germany;13.06.2026;;;No date action required.
clean;GlückLauf;glucklauf-salzgitter-13-06-2026;Salzgitter;Germany;13.06.2026;;;No date action required.
info;Mendener Citylauf mit Halbmarathon;mendener-citylauf-mit-halbmarathon-menden-14-06-2026;Menden;Germany;14.06.2026;next_check_overdue;Next check date is already in the past.;Run source verification and move next_check forward.
clean;Gorch-Fock-Lauf;gorch-fock-lauf-wilhelmshaven-14-06-2026;Wilhelmshaven;Germany;14.06.2026;;;No date action required.
clean;Herzogstadtlauf Straubing;herzogstadtlauf-straubing-straubing-14-06-2026;Straubing;Germany;14.06.2026;;;No date action required.
clean;Himmelswegelauf;himmelswegelauf-nebra-12-06-2027;Nebra;Germany;12.06.2027;;;No date action required.
clean;Tschirgant Sky Run;tschirgant-sky-run-imst-12-06-2027;Imst;Austria;12.06.2027;;;No date action required.
clean;saarBRÜCKENlauf;saarbruckenlauf-saarbrucken-14-06-2026;Saarbrücken;Germany;14.06.2026;;;No date action required.
